Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Vodafone,Indoor,2G,5,Satisfactory,22.6951353,88.3981178,West Bengal
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,26.12727642,89.46058188,West Bengal
RJio,Outdoor,4G,1,Call Dropped,15.56863747,80.17009838,Andhra Pradesh
RJio,Indoor,4G,4,Satisfactory,15.5067195,80.0168263,Andhra Pradesh
Airtel,Indoor,4G,5,Satisfactory,26.12727642,89.46058188,West Bengal
Airtel,Indoor,4G,5,Satisfactory,26.12727642,89.46058188,West Bengal
Airtel,Indoor,Unknown,4,Satisfactory,22.8102682,86.2212312,Jharkhand
Vodafone,Indoor,2G,5,Satisfactory,22.6955016,88.3975115,West Bengal
RJio,Indoor,4G,1,Call Dropped,22.86856087,88.34816862,West Bengal
Airtel,Indoor,4G,5,Satisfactory,26.12727642,89.46058188,West Bengal
BSNL,Indoor,3G,4,Satisfactory,16.93893723,81.95533846,Andhra Pradesh
BSNL,Indoor,3G,4,Satisfactory,16.93893723,81.95533846,Andhra Pradesh
RJio,Indoor,4G,1,Poor Voice Quality,21.16193812,72.87939708,Gujarat
Airtel,Indoor,4G,4,Satisfactory,9.5090238,76.6688842,Kerala
RJio,Indoor,4G,4,Satisfactory,15.5067286,80.0168329,Andhra Pradesh
Vodafone,Outdoor,4G,5,Satisfactory,22.6959063,88.3960944,West Bengal
Airtel,Indoor,4G,4,Satisfactory,22.8102682,86.2212312,Jharkhand
Vodafone,Travelling,2G,5,Satisfactory,22.6959063,88.3960944,West Bengal
RJio,Indoor,4G,4,Satisfactory,18.5190402,73.8566874,Maharashtra
RJio,Indoor,4G,3,Satisfactory,26.311769,89.4508082,West Bengal
Vodafone,Indoor,4G,4,Satisfactory,22.6356979,88.440232,West Bengal
Airtel,Travelling,4G,1,Poor Voice Quality,17.75978053,83.22255821,Andhra Pradesh
RJio,Indoor,4G,3,Satisfactory,26.311769,89.4508082,West Bengal
Idea,Outdoor,4G,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,4G,4,Satisfactory,9.5090099,76.6685233,Kerala
Vodafone,Indoor,4G,3,Poor Voice Quality,22.6356422,88.4402863,West Bengal
Airtel,Indoor,Unknown,4,Satisfactory,17.75978053,83.22255821,Andhra Pradesh
RJio,Indoor,4G,4,Satisfactory,15.5067416,80.016854,Andhra Pradesh
Airtel,Indoor,4G,4,Satisfactory,17.54545667,78.48798667,Telangana
BSNL,Outdoor,Unknown,4,Satisfactory,23.57862833,87.17900167,West Bengal
Airtel,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,2,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,22.86866129,88.34818756,West Bengal
RJio,Indoor,4G,4,Satisfactory,28.68607426,77.36218807,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,28.68607426,77.36218807,Uttar Pradesh
Airtel,Indoor,4G,4,Satisfactory,17.54545667,78.48798667,Telangana
Airtel,Indoor,4G,5,Satisfactory,29.920551,77.8298047,Uttarakhand
Airtel,Travelling,4G,4,Satisfactory,22.80895283,86.19001776,Jharkhand
Airtel,Indoor,4G,5,Satisfactory,29.9205514,77.8298049,Uttarakhand
Airtel,Indoor,Unknown,2,Poor Voice Quality,13.93682618,75.54847559,Karnataka
RJio,Indoor,4G,1,Poor Voice Quality,20.91520029,70.3643054,Gujarat
RJio,Outdoor,4G,4,Satisfactory,22.4806532,88.405689,West Bengal
Airtel,Indoor,4G,5,Satisfactory,26.8626994,81.0179302,Uttar Pradesh
Airtel,Indoor,4G,3,Poor Voice Quality,18.0072485,79.5468298,Telangana
Airtel,Indoor,4G,5,Satisfactory,26.8626994,81.0179302,Uttar Pradesh
Airtel,Outdoor,4G,3,Poor Voice Quality,18.0072485,79.5468298,Telangana
Airtel,Indoor,4G,1,Call Dropped,23.2712267,77.4576165,Madhya Pradesh
Airtel,Indoor,4G,5,Satisfactory,23.2712267,77.4576165,Madhya Pradesh
Vodafone,Indoor,2G,4,Satisfactory,23.493355,87.3096616,West Bengal
RJio,Outdoor,4G,1,Poor Voice Quality,20.91520029,70.3643054,Gujarat
Airtel,Outdoor,4G,3,Poor Voice Quality,18.0073684,79.5468334,Telangana
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Indoor,Unknown,4,Satisfactory,22.8102682,86.2212312,Jharkhand
Airtel,Indoor,4G,5,Satisfactory,29.9205503,77.829804,Uttarakhand
Vodafone,Indoor,4G,2,Poor Voice Quality,19.22585767,72.85303678,Maharashtra
RJio,Indoor,4G,3,Satisfactory,22.06359319,75.39969119,Madhya Pradesh
BSNL,Outdoor,Unknown,4,Satisfactory,23.58122333,87.17763,West Bengal
BSNL,Indoor,Unknown,4,Satisfactory,23.58122333,87.17763,West Bengal
Idea,Indoor,Unknown,2,Call Dropped,12.78956312,78.36469303,Andhra Pradesh
BSNL,Indoor,3G,4,Satisfactory,16.93893723,81.95533846,Andhra Pradesh
BSNL,Indoor,Unknown,1,Poor Voice Quality,23.58122333,87.17763,West Bengal
BSNL,Indoor,3G,3,Satisfactory,16.93893723,81.95533846,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
BSNL,Indoor,3G,3,Satisfactory,16.93893723,81.95533846,Andhra Pradesh
BSNL,Indoor,3G,3,Satisfactory,16.93893723,81.95533846,Andhra Pradesh
Airtel,Indoor,4G,4,Satisfactory,22.8102682,86.2212312,Jharkhand
RJio,Indoor,4G,3,Satisfactory,22.06338428,75.39975054,Madhya Pradesh
Airtel,Indoor,4G,4,Satisfactory,22.8102682,86.2212312,Jharkhand
Airtel,Indoor,Unknown,4,Satisfactory,13.9370691,75.5480962,Karnataka
Airtel,Indoor,2G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,3,Satisfactory,22.06337887,75.39951174,Madhya Pradesh
Airtel,Indoor,4G,5,Satisfactory,26.12727642,89.46058188,West Bengal
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,4,Satisfactory,22.80895283,86.19001776,Jharkhand
BSNL,Indoor,3G,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,26.12727642,89.46058188,West Bengal
RJio,Indoor,4G,1,Poor Voice Quality,28.5841323,77.088719,NCT
Airtel,Indoor,4G,5,Satisfactory,26.12727642,89.46058188,West Bengal
Airtel,Indoor,4G,5,Satisfactory,26.12727642,89.46058188,West Bengal
RJio,Indoor,4G,3,Satisfactory,22.06356956,75.39975272,Madhya Pradesh
Airtel,Indoor,4G,4,Satisfactory,12.8804148,77.6784129,Karnataka
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
Vodafone,Outdoor,2G,5,Satisfactory,22.566599,88.3538334,West Bengal
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Vodafone,Indoor,2G,3,Poor Voice Quality,23.493355,87.3096616,West Bengal
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Vodafone,Indoor,4G,1,Poor Voice Quality,23.58122333,87.17763,West Bengal
Vodafone,Indoor,4G,4,Satisfactory,23.58122333,87.17763,West Bengal
BSNL,Indoor,Unknown,5,Satisfactory,23.58122333,87.17763,West Bengal
BSNL,Indoor,Unknown,4,Satisfactory,23.58122333,87.17763,West Bengal
Vodafone,Outdoor,3G,1,Poor Voice Quality,-1,-1,NA
Vodafone,Travelling,3G,1,Poor Voice Quality,-1,-1,NA
MTNL,Indoor,4G,5,Satisfactory,18.971451,72.8377485,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,24.99220883,85.13988085,Bihar
Vodafone,Indoor,Unknown,1,Poor Voice Quality,18.5602643,73.77450281,Maharashtra
Airtel,Outdoor,4G,1,Poor Voice Quality,-1,-1,NA
Vodafone,Travelling,3G,1,Poor Voice Quality,-1,-1,NA
Vodafone,Indoor,Unknown,4,Satisfactory,-1,-1,NA
Vodafone,Outdoor,3G,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,4G,4,Satisfactory,22.80895283,86.19001776,Jharkhand
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,2G,1,Call Dropped,12.8804462,77.6783634,Karnataka
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,3,Satisfactory,22.06336982,75.39984366,Madhya Pradesh
Vodafone,Travelling,3G,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,26.12727642,89.46058188,West Bengal
Vodafone,Indoor,4G,4,Satisfactory,22.57503777,88.40144091,West Bengal
Vodafone,Indoor,4G,5,Satisfactory,22.5669423,88.3534293,West Bengal
MTNL,Indoor,4G,5,Satisfactory,18.9710893,72.8365929,Maharashtra
MTNL,Indoor,Unknown,5,Satisfactory,18.9710893,72.8365929,Maharashtra
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,26.12727642,89.46058188,West Bengal
Airtel,Indoor,Unknown,4,Satisfactory,17.7599724,83.2221456,Andhra Pradesh
Idea,Indoor,4G,4,Satisfactory,31.6308378,74.8349094,Punjab
Idea,Indoor,4G,2,Call Dropped,31.6308287,74.8349424,Punjab
Airtel,Indoor,4G,5,Satisfactory,26.12727642,89.46058188,West Bengal
Airtel,Indoor,4G,4,Satisfactory,13.43570702,79.95585774,Tamil Nadu
RJio,Indoor,4G,1,Call Dropped,15.50671062,80.01708304,Andhra Pradesh
Airtel,Indoor,4G,4,Satisfactory,22.8102682,86.2212312,Jharkhand
Vodafone,Indoor,4G,5,Satisfactory,22.5669423,88.3534293,West Bengal
Airtel,Indoor,4G,3,Poor Voice Quality,18.0072485,79.5468298,Telangana
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,26.8625711,81.0179222,Uttar Pradesh
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,26.12727642,89.46058188,West Bengal
Airtel,Outdoor,2G,4,Satisfactory,12.8807198,77.6792914,Karnataka
Airtel,Indoor,4G,3,Poor Voice Quality,12.880437,77.6783659,Karnataka
Airtel,Indoor,4G,4,Satisfactory,12.8804415,77.6783788,Karnataka
Airtel,Indoor,4G,1,Call Dropped,12.8804618,77.6783351,Karnataka
Airtel,Indoor,4G,4,Satisfactory,12.8804445,77.6783533,Karnataka
Airtel,Indoor,4G,4,Satisfactory,12.8804687,77.6783371,Karnataka
Airtel,Indoor,4G,4,Satisfactory,12.880529,77.6782988,Karnataka
Airtel,Indoor,4G,4,Satisfactory,12.8804421,77.6783912,Karnataka
Airtel,Indoor,2G,1,Poor Voice Quality,28.6481848,77.3494515,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,22.67151009,88.33674981,West Bengal
RJio,Outdoor,4G,4,Satisfactory,24.99214735,85.14001655,Bihar
BSNL,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,3,Poor Voice Quality,18.0072485,79.5468298,Telangana
Airtel,Indoor,4G,3,Satisfactory,22.56278,88.40318667,West Bengal
Airtel,Indoor,4G,3,Satisfactory,22.56278,88.40318667,West Bengal
MTNL,Indoor,Unknown,5,Satisfactory,18.9715675,72.8379589,Maharashtra
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
BSNL,Indoor,Unknown,5,Satisfactory,17.61743146,83.1857858,Andhra Pradesh
Vodafone,Indoor,4G,4,Satisfactory,22.57544,88.4011885,West Bengal
Airtel,Indoor,4G,5,Satisfactory,26.8625651,81.0179438,Uttar Pradesh
Idea,Indoor,4G,1,Poor Voice Quality,31.6308108,74.8349112,Punjab
BSNL,Indoor,Unknown,5,Satisfactory,17.61743146,83.1857858,Andhra Pradesh
Airtel,Indoor,4G,4,Satisfactory,22.81077674,86.19705215,Jharkhand
BSNL,Indoor,Unknown,1,Call Dropped,-1,-1,NA
BSNL,Indoor,Unknown,5,Satisfactory,17.61743146,83.1857858,Andhra Pradesh
Airtel,Outdoor,4G,3,Poor Voice Quality,12.8804255,77.6783918,Karnataka
BSNL,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
BSNL,Indoor,3G,3,Satisfactory,16.93893723,81.95533846,Andhra Pradesh
BSNL,Indoor,Unknown,3,Poor Voice Quality,23.58122333,87.17763,West Bengal
RJio,Indoor,4G,4,Satisfactory,23.27282585,77.382782,Madhya Pradesh
RJio,Indoor,4G,3,Satisfactory,26.3118601,89.45075005,West Bengal
Vodafone,Outdoor,2G,5,Satisfactory,22.566599,88.3538334,West Bengal
Vodafone,Outdoor,2G,1,Call Dropped,22.5758138,88.3668512,West Bengal
Vodafone,Indoor,3G,1,Poor Voice Quality,19.28341383,72.8698918,Maharashtra
Vodafone,Outdoor,2G,1,Poor Voice Quality,22.5758138,88.3668512,West Bengal
Airtel,Indoor,4G,5,Satisfactory,26.8625651,81.0179438,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,12.8786721,77.7243033,Karnataka
Airtel,Indoor,Unknown,4,Satisfactory,22.81077674,86.19705215,Jharkhand
RJio,Indoor,4G,1,Poor Voice Quality,8.26861828,77.15360316,Tamil Nadu
RJio,Outdoor,4G,1,Poor Voice Quality,8.26861828,77.15360316,Tamil Nadu
RJio,Indoor,4G,1,Poor Voice Quality,8.26861828,77.15360316,Tamil Nadu
BSNL,Indoor,Unknown,1,Poor Voice Quality,8.26861828,77.15360316,Tamil Nadu
RJio,Indoor,4G,1,Poor Voice Quality,8.26861828,77.15360316,Tamil Nadu
RJio,Outdoor,4G,1,Poor Voice Quality,8.26861828,77.15360316,Tamil Nadu
RJio,Indoor,4G,1,Poor Voice Quality,8.26861828,77.15360316,Tamil Nadu
BSNL,Indoor,Unknown,1,Poor Voice Quality,8.26861828,77.15360316,Tamil Nadu
BSNL,Outdoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,4G,4,Satisfactory,22.81077674,86.19705215,Jharkhand
RJio,Indoor,4G,5,Satisfactory,18.4967871,73.8237051,Maharashtra
RJio,Outdoor,4G,2,Poor Voice Quality,-1,-1,NA
Idea,Indoor,4G,1,Call Dropped,18.5852414,73.996735,Maharashtra
Airtel,Indoor,4G,3,Satisfactory,10.99745216,76.96636069,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,10.99745216,76.96636069,Tamil Nadu
MTNL,Indoor,Unknown,5,Satisfactory,18.9715617,72.8379664,Maharashtra
Airtel,Indoor,4G,5,Satisfactory,26.8625651,81.0179438,Uttar Pradesh
MTNL,Indoor,4G,5,Satisfactory,18.9715617,72.8379664,Maharashtra
Airtel,Indoor,4G,4,Satisfactory,22.81077674,86.19705215,Jharkhand
Airtel,Indoor,4G,4,Satisfactory,22.81077674,86.19705215,Jharkhand
RJio,Indoor,4G,1,Call Dropped,-1,-1,NA
Airtel,Indoor,4G,3,Poor Voice Quality,18.007304,79.546811,Telangana
Airtel,Indoor,4G,5,Satisfactory,13.11180583,80.23785678,Tamil Nadu
Airtel,Indoor,Unknown,5,Satisfactory,13.11314511,80.23405693,Tamil Nadu
Airtel,Indoor,4G,3,Call Dropped,13.11314511,80.23405693,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,13.11314511,80.23405693,Tamil Nadu
Airtel,Indoor,Unknown,5,Satisfactory,13.11314511,80.23405693,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,13.11314511,80.23405693,Tamil Nadu
Airtel,Outdoor,Unknown,5,Satisfactory,13.11317938,80.23407759,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,13.11316568,80.23406047,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,13.11341719,80.23429136,Tamil Nadu
Airtel,Indoor,Unknown,5,Satisfactory,13.11341719,80.23429136,Tamil Nadu
Airtel,Indoor,Unknown,5,Satisfactory,13.11341719,80.23429136,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,13.11341719,80.23429136,Tamil Nadu
RJio,Indoor,4G,5,Satisfactory,18.4968609,73.82380346,Maharashtra
Airtel,Indoor,4G,4,Satisfactory,22.81077674,86.19705215,Jharkhand
Airtel,Indoor,4G,4,Satisfactory,22.81077674,86.19705215,Jharkhand
Idea,Indoor,Unknown,1,Call Dropped,15.5067516,80.0168589,Andhra Pradesh
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
Vodafone,Outdoor,4G,4,Satisfactory,22.58462159,88.39917472,West Bengal
Idea,Outdoor,4G,2,Poor Voice Quality,29.85852333,79.65636833,Uttarakhand
Idea,Travelling,4G,3,Satisfactory,29.85852333,79.65636833,Uttarakhand
BSNL,Indoor,2G,5,Satisfactory,17.307622,78.4340252,Telangana
BSNL,Indoor,2G,5,Satisfactory,17.307622,78.4340252,Telangana
BSNL,Outdoor,2G,5,Satisfactory,17.3076266,78.4340058,Telangana
RJio,Indoor,4G,1,Poor Voice Quality,28.5840299,77.08866109,NCT
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,2G,5,Satisfactory,13.11341719,80.23429136,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,17.5457,78.488075,Telangana
Airtel,Indoor,4G,5,Satisfactory,17.54547333,78.48826667,Telangana
Airtel,Indoor,4G,4,Satisfactory,12.8804712,77.6783293,Karnataka
Airtel,Indoor,4G,4,Satisfactory,12.8804255,77.6783918,Karnataka
Airtel,Indoor,4G,4,Satisfactory,12.8804229,77.6783935,Karnataka
Airtel,Indoor,4G,5,Satisfactory,12.8804242,77.678398,Karnataka
Airtel,Indoor,Unknown,1,Poor Voice Quality,34.071595,74.855441,Kashmir
Airtel,Indoor,Unknown,4,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,4,Satisfactory,22.81077674,86.19705215,Jharkhand
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
Vodafone,Indoor,2G,4,Satisfactory,12.94036801,79.16897592,Tamil Nadu
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
Vodafone,Indoor,4G,4,Satisfactory,22.6355703,88.4402652,West Bengal
Airtel,Indoor,Unknown,4,Satisfactory,22.80875105,86.18982767,Jharkhand
BSNL,Indoor,2G,3,Poor Voice Quality,10.5217894,76.2493327,Kerala
Airtel,Indoor,Unknown,4,Satisfactory,22.80875105,86.18982767,Jharkhand
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
Vodafone,Indoor,3G,4,Satisfactory,12.94025352,79.16889418,Tamil Nadu
Airtel,Outdoor,4G,3,Poor Voice Quality,18.0074485,79.546828,Telangana
Airtel,Indoor,4G,5,Satisfactory,26.12738163,89.46043971,West Bengal
Airtel,Indoor,4G,5,Satisfactory,26.12738163,89.46043971,West Bengal
Airtel,Indoor,4G,5,Satisfactory,26.12738163,89.46043971,West Bengal
Vodafone,Indoor,3G,4,Satisfactory,12.94025352,79.16889418,Tamil Nadu
BSNL,Indoor,3G,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Vodafone,Indoor,4G,4,Satisfactory,12.9459235,78.8557814,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,29.84135538,77.8888165,Uttarakhand
Airtel,Outdoor,4G,3,Poor Voice Quality,18.0072299,79.5468435,Telangana
RJio,Indoor,4G,5,Satisfactory,19.87246,75.540555,Maharashtra
Airtel,Indoor,4G,5,Satisfactory,17.4876801,78.3145269,Telangana
Airtel,Outdoor,4G,3,Poor Voice Quality,18.0072143,79.5468317,Telangana
Airtel,Indoor,4G,5,Satisfactory,29.8415083,77.8890493,Uttarakhand
Airtel,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Indoor,Unknown,3,Satisfactory,18.50397547,73.92794309,Maharashtra
RJio,Indoor,4G,4,Satisfactory,18.50387153,73.92799058,Maharashtra
RJio,Indoor,4G,1,Poor Voice Quality,18.50387153,73.92799058,Maharashtra
Vodafone,Indoor,3G,5,Satisfactory,22.5670485,88.3534524,West Bengal
Airtel,Indoor,4G,5,Satisfactory,29.84133837,77.88905334,Uttarakhand
Airtel,Indoor,Unknown,5,Satisfactory,13.09524628,77.58212111,Karnataka
Airtel,Outdoor,4G,3,Poor Voice Quality,18.0071816,79.5468442,Telangana
Airtel,Indoor,Unknown,2,Call Dropped,22.6742953,75.8257228,Madhya Pradesh
RJio,Outdoor,4G,2,Poor Voice Quality,-1,-1,NA
RJio,Outdoor,4G,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,4G,4,Satisfactory,17.7599724,83.2221456,Andhra Pradesh
Airtel,Indoor,Unknown,4,Satisfactory,17.75993152,83.2222723,Andhra Pradesh
Vodafone,Travelling,3G,5,Satisfactory,22.5644049,88.3577783,West Bengal
Idea,Indoor,3G,1,Call Dropped,19.2118841,73.177443,Maharashtra
Idea,Indoor,Unknown,1,Call Dropped,19.2119022,73.1774891,Maharashtra
Vodafone,Indoor,3G,1,Call Dropped,19.2119734,73.1772605,Maharashtra
Idea,Indoor,4G,1,Poor Voice Quality,19.2118934,73.1774675,Maharashtra
Idea,Indoor,Unknown,1,Poor Voice Quality,19.2118775,73.1774674,Maharashtra
Idea,Indoor,3G,1,Poor Voice Quality,19.2118934,73.1774675,Maharashtra
Idea,Indoor,4G,1,Poor Voice Quality,19.21200707,73.17757833,Maharashtra
Idea,Indoor,3G,1,Call Dropped,19.21200707,73.17757833,Maharashtra
Idea,Indoor,Unknown,1,Poor Voice Quality,19.21200707,73.17757833,Maharashtra
Vodafone,Indoor,3G,1,Poor Voice Quality,19.21200707,73.17757833,Maharashtra
Vodafone,Indoor,3G,1,Poor Voice Quality,19.21200707,73.17757833,Maharashtra
Vodafone,Indoor,3G,1,Poor Voice Quality,19.21200707,73.17757833,Maharashtra
Idea,Indoor,3G,1,Poor Voice Quality,19.21200707,73.17757833,Maharashtra
Idea,Indoor,Unknown,1,Poor Voice Quality,19.21200707,73.17757833,Maharashtra
Idea,Indoor,2G,1,Poor Voice Quality,19.21200707,73.17757833,Maharashtra
Idea,Indoor,Unknown,1,Poor Voice Quality,19.2118934,73.1774675,Maharashtra
Vodafone,Indoor,3G,1,Poor Voice Quality,19.2118424,73.1774194,Maharashtra
Vodafone,Indoor,3G,1,Poor Voice Quality,19.2118934,73.1774675,Maharashtra
Vodafone,Indoor,3G,1,Poor Voice Quality,19.2118934,73.1774675,Maharashtra
Idea,Indoor,4G,1,Poor Voice Quality,19.2122308,73.177716,Maharashtra
Vodafone,Indoor,3G,2,Poor Voice Quality,19.2122308,73.177716,Maharashtra
Idea,Indoor,3G,1,Poor Voice Quality,19.2118844,73.1774519,Maharashtra
Idea,Indoor,4G,1,Poor Voice Quality,19.211887,73.1774492,Maharashtra
Idea,Indoor,Unknown,1,Poor Voice Quality,19.2118934,73.1774675,Maharashtra
Idea,Indoor,Unknown,1,Poor Voice Quality,19.2118865,73.1774614,Maharashtra
